survey_id,customer_id,nps_score,survey_date,plan_type,contract_type,segment,feedback_category,feedback_text
SV-01430,C-0001,2,2024-12-02,Starter,Monthly,detractor,Account,"Honestly this platform has been a total nightmare; we lost several client calls because the system kept dropping, and we're done with it."
SV-01431,C-0001,2,2024-04-27,Starter,Monthly,detractor,Account,"After months of dealing with constant call drops and zero support, we finally decided to cancel. The onboarding never got off the ground and we’re now scrambling for a replacement. It feels like a waste of money."
SV-01928,C-0002,2,2024-04-01,Starter,Annual,detractor,Billing,"Billing errors kept piling up and the invoices never matched our usage, so we walked away."
SV-01927,C-0002,1,2024-12-17,Starter,Annual,detractor,Billing,"We’ve been battling unresolved billing disputes for weeks, and every ticket hits a dead end. It’s frustrating to see the same mistakes repeat, and we’re actively looking for a new provider."
SV_C-0003_1,C-0003,9,2024-10-24,Professional,Annual,promoter,Feature Request,"Our team loves the call routing and video quality, but the occasional payment failure notifications are annoying. A smoother billing experience would make this perfect."
SV-01839,C-0003,9,2024-12-05,Professional,Annual,promoter,Technical,"The call quality has been spotty and the integration with our CRM often fails, causing dropped leads. Support tickets get answered quickly, but the core issue remains."
SV_C-0003_2,C-0004,3,2024-03-19,Starter,Monthly,detractor,Billing,"While the overall experience is solid and our agents appreciate the reliable video conferencing, the recurring payment failures are a real pain point. Each time a transaction is rejected, we have to chase support, which disrupts our budgeting cycle. The platform’s uptime and call routing are excellent, and the UI feels intuitive. If the billing engine could be stabilized, we’d be fully satisfied."
SV-00673,C-0004,2,2024-07-06,Starter,Monthly,detractor,General,"I’ve been using the service for over a year and the call clarity is consistently impressive. The team messaging feature integrates seamlessly with our Slack workspace, and the video rooms never lag. Support has been responsive whenever we’ve had a hiccup, which builds confidence. My only wish is a deeper analytics dashboard to track call metrics across departments."
SV-00672,C-0005,9,2024-01-11,Starter,Monthly,promoter,General,"Fantastic platform – the call quality is crystal clear and the video meetings never glitch, even with large groups. Our support agents rely on the advanced routing feature daily, and it has cut average handling time by 15%. The onboarding was smooth, and the account team checks in regularly with useful tips. We’ve already recommended it to several partners and can’t imagine switching."
SV-01838,C-0005,10,2024-10-09,Starter,Monthly,promoter,Technical,"Unacceptable downtime during a critical sales call left us looking foolish and cost us the deal."
SV-01463,C-0006,7,2024-07-20,professional,Annual,passive,Feature Request,"Overall the platform works well for our small team, but the mobile app still drops calls occasionally. A smoother handoff between the desktop and phone would make daily use easier."
SV-01464,C-0006,6,2024-06-28,professional,Annual,detractor,Feature Request,"We appreciate the range of features, yet the call routing rules feel clunky and require too many clicks. Simplifying that workflow would help us get more value out of the system."
SV-02567,C-0007,3,2024-06-25,Professional,Annual,detractor,Billing,"After months of trying to get the billing issues sorted, we finally decided to move to another provider. The invoices kept showing extra line fees that never matched our usage, and support took days to respond. Even though the call quality was decent, the constant billing confusion cost us time we couldn't afford. We’re now looking for a solution that’s transparent from the start."
SV-02566,C-0007,0,2024-07-10,Professional,Annual,detractor,Billing,"This platform has been a disaster – endless billing errors and zero support, we’re done."
SV-03405,C-0008,4,2024-07-16,Enterprise,Monthly,detractor,Technical,"Our agents handle over 150 calls a month, yet the call routing feature is barely usable and we can’t set up basic queues. The UI is confusing and we often resort to manual work, which defeats the purpose of an enterprise solution."
SV-00213,C-0009,7,2024-07-24,starter,Monthly,passive,Feature Request,"The system is reliable for everyday calls, but the analytics dashboard could show more real‑time stats. Adding a quick view of agent availability would help our supervisors."
SV-00214,C-0009,9,2024-01-15,starter,Monthly,promoter,General,"I’ve been using the starter plan for a year and the video conferencing quality has been consistently crystal clear, even on low bandwidth. The team messaging feels instant, and the integration with our CRM saves us double‑entry work. Support has been friendly, resolving the few hiccups we’ve had within hours. I actually recommend this to other small businesses looking for an all‑in‑one communications suite."
